2024-12-19,12:05:38,dataset,m,n,h,T,k_s,k_e,k_b,algorithm,pruning_rate,num_corr_pairs,runtime [s],window shift time [ns],SVD time [ns],bucketing filter time [ns],Euclidean distance filter time [ns],Pearson correlation computation time [ns]
2024-12-19,12:06:14,synthetic,50,60,30,0.9,15,30,2,brute_force_euc_dist,0,36815,0.129, 116337, 0, 0, 0, 657100
2024-12-19,12:06:15,synthetic,50,510,30,0.9,15,30,2,corr_join,0.756,14717,0.426, 940439, 85484, 364149, 95355, 1340212
2024-12-19,12:06:15,synthetic,50,510,30,0.9,15,30,2,brute_force_euc_dist,0,32011,0.602, 810368, 0, 0, 0, 3192473
2024-12-19,12:06:16,synthetic,50,990,30,0.9,15,30,2,corr_join,0.75,12544,0.631, 1491700, 91533, 372984, 88130, 2655926
2024-12-19,12:06:17,synthetic,50,990,30,0.9,15,30,2,brute_force_euc_dist,0,28539,0.974, 1231787, 0, 0, 0, 6025817
2024-12-19,12:06:18,synthetic,50,1500,30,0.9,15,30,2,corr_join,0.722,10778,0.949, 2228644, 109934, 393600, 98596, 5271633
2024-12-19,12:06:19,synthetic,50,1500,30,0.9,15,30,2,brute_force_euc_dist,0,24988,1.076, 1673142, 0, 0, 0, 7508447
2024-12-19,12:06:21,chlorine,50,1200,100,0.85,15,30,3,corr_join,0.872,6741,0.158, 1675475, 96534, 754638, 47832, 1662152
2024-12-19,12:06:21,chlorine,50,1200,100,0.85,15,30,3,brute_force_euc_dist,0,25781,0.302, 1322438, 0, 0, 0, 6806575
2024-12-19,12:06:21,chlorine,50,1200,200,0.85,15,30,3,corr_join,0.874,3466,0.088, 1827699, 105989, 808129, 84132, 1750239
2024-12-19,12:06:22,chlorine,50,1200,200,0.85,15,30,3,brute_force_euc_dist,0,13231,0.172, 1444476, 0, 0, 0, 7556261
2024-12-19,12:06:22,chlorine,50,1200,300,0.85,15,30,3,corr_join,0.877,2228,0.062, 1897010, 117869, 796349, 48686, 1826779
2024-12-19,12:06:22,chlorine,50,1200,300,0.85,15,30,3,brute_force_euc_dist,0,9111,0.115, 1451926, 0, 0, 0, 7308468
2024-12-19,12:06:22,chlorine,50,1200,400,0.85,15,30,3,corr_join,0.868,1929,0.046, 1704525, 104596, 770954, 47854, 1828829
2024-12-19,12:06:22,chlorine,50,1200,400,0.85,15,30,3,brute_force_euc_dist,0,6972,0.089, 1334904, 0, 0, 0, 7443929
2024-12-19,12:06:22,chlorine,50,1200,500,0.85,15,30,3,corr_join,0.864,1574,0.04, 1785474, 117932, 838687, 111234, 1941787
2024-12-19,12:06:22,chlorine,50,1200,500,0.85,15,30,3,brute_force_euc_dist,0,5570,0.073, 1408172, 0, 0, 0, 7509448
2024-12-19,12:06:26,synthetic,4,300,10,0.85,15,30,3,corr_join,0.929,229,0.185, 240428, 24411, 99745, 12146, 11792
2024-12-19,12:06:26,synthetic,4,300,10,0.85,15,30,3,brute_force_euc_dist,0,439,0.055, 93981, 0, 0, 0, 20307
2024-12-19,12:06:30,synthetic,8,300,10,0.85,15,30,3,corr_join,0.84,800,0.341, 272605, 35121, 376830, 12856, 23286
2024-12-19,12:06:30,synthetic,8,300,10,0.85,15,30,3,brute_force_euc_dist,0,2846,0.083, 113392, 0, 0, 0, 60166
2024-12-19,12:06:34,synthetic,16,300,10,0.85,15,30,3,corr_join,0.894,4178,0.471, 371480, 56570, 514467, 15139, 39327
2024-12-19,12:06:34,synthetic,16,300,10,0.85,15,30,3,brute_force_euc_dist,0,13986,0.162, 152235, 0, 0, 0, 189000
2024-12-19,12:06:39,synthetic,32,300,10,0.85,15,30,3,corr_join,0.873,14371,0.618, 450437, 68988, 598297, 25650, 164201
2024-12-19,12:06:39,synthetic,32,300,10,0.85,15,30,3,brute_force_euc_dist,0,61385,0.427, 241323, 0, 0, 0, 662840
2024-12-19,12:06:44,synthetic,64,300,10,0.85,15,30,3,corr_join,0.873,59476,1.112, 684224, 80570, 805155, 76332, 710314
2024-12-19,12:06:45,synthetic,64,300,10,0.85,15,30,3,brute_force_euc_dist,0,254307,1.837, 543733, 0, 0, 0, 3352141
