Date,Open,High,Low,Close,Adj Close,Volume
2015-02-17,11.020000,11.135000,10.909000,11.087000,11.087000,15312000
2015-02-18,11.032000,11.059000,10.929000,11.000000,11.000000,16681000
2015-02-19,11.000000,11.110000,10.965000,11.090000,11.090000,13196000
2015-02-20,11.143000,11.216000,11.046000,11.206000,11.206000,19283000
2015-02-23,11.300000,11.323000,11.196000,11.285000,11.285000,23854000
2015-02-24,11.350000,11.360000,11.161000,11.318000,11.318000,23213000
2015-02-25,11.329000,11.390000,11.231000,11.268000,11.268000,38216000
2015-02-26,12.324000,12.989000,12.305000,12.925000,12.925000,89263000
2015-02-27,12.870000,12.870000,12.614000,12.762000,12.762000,33825000
2015-03-02,12.721000,13.087000,12.721000,12.902000,12.902000,27893000
2015-03-03,12.824000,12.894000,12.757000,12.822000,12.822000,18682000
2015-03-04,12.769000,12.988000,12.437000,12.940000,12.940000,36143000
2015-03-05,12.936000,13.154000,12.878000,13.057000,13.057000,21688000
2015-03-06,13.000000,13.049000,12.750000,12.789000,12.789000,22329000
2015-03-09,12.779000,12.859000,12.693000,12.712000,12.712000,17835000
2015-03-10,12.572000,12.693000,12.451000,12.512000,12.512000,17688000
2015-03-11,12.530000,12.647000,12.452000,12.466000,12.466000,17742000
2015-03-12,12.288000,12.621000,12.155000,12.612000,12.612000,22305000
2015-03-13,12.571000,12.675000,12.394000,12.500000,12.500000,18414000
2015-03-16,12.687000,13.045000,12.670000,12.987000,12.987000,23077000
2015-03-17,12.881000,12.960000,12.750000,12.910000,12.910000,19006000
2015-03-18,12.866000,13.128000,12.769000,13.044000,13.044000,21250000
2015-03-19,13.050000,13.295000,13.002000,13.204000,13.204000,24461000
2015-03-20,13.343000,13.418000,13.220000,13.329000,13.329000,55522000
2015-03-23,13.500000,13.628000,13.389000,13.444000,13.444000,23849000
2015-03-24,13.497000,13.537000,13.288000,13.312000,13.312000,25819000
2015-03-25,13.262000,13.333000,12.440000,12.443000,12.443000,48853000
2015-03-26,12.026000,12.514000,11.696000,12.471000,12.471000,45058000
2015-03-27,12.499000,12.900000,12.485000,12.821000,12.821000,24297000
2015-03-30,12.983000,13.090000,12.830000,13.055000,13.055000,19523000
2015-03-31,12.931000,12.950000,12.673000,12.698000,12.698000,16402000
2015-04-01,12.666000,12.696000,12.361000,12.563000,12.563000,21830000
2015-04-02,12.611000,12.691000,12.463000,12.502000,12.502000,14508000
2015-04-06,12.337000,12.673000,12.250000,12.583000,12.583000,14227000
2015-04-07,12.651000,12.717000,12.540000,12.565000,12.565000,16132000
2015-04-08,12.547000,12.747000,12.530000,12.679000,12.679000,13607000
2015-04-09,12.584000,12.794000,12.565000,12.722000,12.722000,13961000
2015-04-10,12.756000,12.797000,12.607000,12.682000,12.682000,11669000
2015-04-13,12.725000,12.747000,12.510000,12.535000,12.535000,10483000
2015-04-14,12.506000,12.534000,12.214000,12.398000,12.398000,16047000
2015-04-15,12.477000,12.630000,12.465000,12.590000,12.590000,16893000
2015-04-16,12.507000,12.616000,12.480000,12.533000,12.533000,15456000
2015-04-17,12.369000,12.428000,12.094000,12.185000,12.185000,26817000
2015-04-20,12.250000,12.382000,12.220000,12.303000,12.303000,13295000
2015-04-21,12.432000,12.505000,12.294000,12.310000,12.310000,20616000
2015-04-22,12.391000,12.800000,12.275000,12.790000,12.790000,22580000
2015-04-23,12.522000,12.546000,12.255000,12.407000,12.407000,28053000
2015-04-24,12.373000,12.373000,11.587000,11.950000,11.950000,55059000
2015-04-27,12.000000,12.194000,11.872000,12.015000,12.015000,27320000
2015-04-28,12.038000,12.100000,11.456000,11.745000,11.745000,31023000
2015-04-29,11.602000,11.752000,11.475000,11.703000,11.703000,20903000
2015-04-30,11.669000,11.894000,11.626000,11.688000,11.688000,21339000
2015-05-01,11.792000,12.343000,11.788000,12.280000,12.280000,25334000
2015-05-04,12.283000,12.385000,12.086000,12.116000,12.116000,14207000
2015-05-05,12.010000,12.067000,11.663000,11.679000,11.679000,22090000
2015-05-06,11.784000,11.837000,11.539000,11.678000,11.678000,14475000
2015-05-07,12.000000,12.364000,12.000000,12.248000,12.248000,23542000
2015-05-08,12.320000,12.493000,12.273000,12.333000,12.333000,14846000
2015-05-11,12.357000,12.386000,12.260000,12.281000,12.281000,12418000
2015-05-12,12.202000,12.358000,12.130000,12.295000,12.295000,10264000
2015-05-13,12.363000,12.484000,12.231000,12.313000,12.313000,11857000
2015-05-14,12.414000,12.868000,12.364000,12.694000,12.694000,23279000
2015-05-15,12.779000,12.950000,12.657000,12.787000,12.787000,22627000
2015-05-18,12.795000,13.040000,12.728000,13.018000,13.018000,17984000
2015-05-19,13.086000,13.185000,12.925000,12.947000,12.947000,16053000
2015-05-20,12.994000,13.107000,12.811000,12.911000,12.911000,18721000
2015-05-21,12.951000,13.003000,12.784000,12.959000,12.959000,21309000
2015-05-22,12.982000,13.383000,12.982000,13.264000,13.264000,22856000
2015-05-26,13.436000,13.453000,13.064000,13.130000,13.130000,26781000
2015-05-27,13.209000,14.482000,13.162000,14.149000,14.149000,114248000
2015-05-28,14.501000,14.547000,13.600000,14.238000,14.238000,249123000
2015-05-29,14.412000,14.924000,14.411000,14.807000,14.807000,118244000
2015-06-01,14.824000,15.050000,14.515000,14.662000,14.662000,83579000
2015-06-02,14.641000,14.667000,14.314000,14.416000,14.416000,41264000
2015-06-03,14.600000,14.600000,14.281000,14.306000,14.306000,30450000
2015-06-04,14.249000,14.344000,14.048000,14.120000,14.120000,28017000
2015-06-05,14.097000,14.404000,13.931000,14.381000,14.381000,38593000
2015-06-08,14.357000,14.377000,13.753000,13.863000,13.863000,54422000
2015-06-09,13.895000,14.073000,13.651000,14.021000,14.021000,44071000
2015-06-10,13.993000,14.398000,13.984000,14.286000,14.286000,42617000
2015-06-11,14.218000,14.326000,14.102000,14.199000,14.199000,31517000
2015-06-12,14.129000,14.148000,13.988000,14.047000,14.047000,19145000
2015-06-15,13.916000,14.402000,13.901000,14.312000,14.312000,34565000
2015-06-16,14.270000,14.349000,14.138000,14.199000,14.199000,20998000
2015-06-17,14.150000,14.250000,13.946000,14.069000,14.069000,25429000
2015-06-18,14.073000,14.375000,14.073000,14.300000,14.300000,25298000
2015-06-19,14.301000,14.391000,14.160000,14.289000,14.289000,26881000
2015-06-22,14.416000,14.514000,14.200000,14.328000,14.328000,22846000
2015-06-23,14.396000,14.396000,14.086000,14.164000,14.164000,21497000
2015-06-24,14.206000,14.222000,13.983000,13.997000,13.997000,22402000
2015-06-25,14.013000,14.105000,13.883000,13.923000,13.923000,17538000
2015-06-26,13.885000,13.904000,13.475000,13.515000,13.515000,71798000
2015-06-29,13.285000,13.521000,13.104000,13.201000,13.201000,40473000
2015-06-30,13.380000,13.438000,13.212000,13.293000,13.293000,28695000
2015-07-01,13.441000,13.770000,13.432000,13.550000,13.550000,43059000
2015-07-02,13.560000,13.775000,13.535000,13.764000,13.764000,32797000
2015-07-06,13.616000,13.761000,13.387000,13.420000,13.420000,30188000
2015-07-07,13.395000,13.445000,12.616000,13.284000,13.284000,59268000
2015-07-08,13.010000,13.134000,12.686000,12.805000,12.805000,51371000
2015-07-09,13.018000,13.136000,12.372000,12.468000,12.468000,73469000
2015-07-10,12.661000,13.082000,12.650000,12.984000,12.984000,50948000
2015-07-13,13.138000,13.138000,12.846000,12.918000,12.918000,25304000
2015-07-14,12.935000,13.248000,12.851000,13.230000,13.230000,26289000
2015-07-15,13.167000,13.349000,13.082000,13.172000,13.172000,23100000
2015-07-16,13.363000,13.477000,13.089000,13.470000,13.470000,33977000
2015-07-17,13.496000,13.500000,13.196000,13.366000,13.366000,29000000
2015-07-20,13.455000,13.562000,13.375000,13.464000,13.464000,23563000
2015-07-21,13.510000,13.638000,13.414000,13.451000,13.451000,31532000
2015-07-22,12.704000,13.000000,12.538000,12.959000,12.959000,61346000
2015-07-23,13.118000,13.500000,13.050000,13.197000,13.197000,30608000
2015-07-24,13.351000,13.385000,12.834000,12.848000,12.848000,36311000
2015-07-27,12.735000,12.750000,12.410000,12.465000,12.465000,34893000
2015-07-28,12.558000,12.955000,12.352000,12.842000,12.842000,27869000
2015-07-29,12.837000,12.912000,12.545000,12.858000,12.858000,33407000
2015-07-30,12.574000,12.879000,12.507000,12.765000,12.765000,39169000
2015-07-31,12.834000,12.834000,12.496000,12.514000,12.514000,30593000
2015-08-03,12.642000,12.749000,12.424000,12.580000,12.580000,27273000
2015-08-04,12.555000,12.555000,11.876000,12.347000,12.347000,47467000
2015-08-05,12.300000,12.569000,12.100000,12.475000,12.475000,34158000
2015-08-06,12.504000,12.540000,12.060000,12.327000,12.327000,46052000
2015-08-07,12.102000,12.398000,12.082000,12.255000,12.255000,30527000
2015-08-10,12.349000,12.740000,12.300000,12.728000,12.728000,28907000
2015-08-11,12.564000,12.623000,12.292000,12.421000,12.421000,26744000
2015-08-12,12.159000,12.668000,12.062000,12.573000,12.573000,27205000
2015-08-13,12.562000,12.682000,12.401000,12.419000,12.419000,14571000
2015-08-14,12.400000,12.450000,12.117000,12.196000,12.196000,26496000
2015-08-17,12.132000,12.552000,12.080000,12.552000,12.552000,21293000
2015-08-18,12.577000,12.577000,12.178000,12.224000,12.224000,19502000
2015-08-19,12.158000,12.278000,11.930000,12.145000,12.145000,30891000
2015-08-20,12.008000,12.064000,11.503000,11.503000,11.503000,41756000
2015-08-21,11.275000,11.549000,11.133000,11.145000,11.145000,56472000
2015-08-24,10.109000,11.501000,10.000000,10.994000,10.994000,69040000
2015-08-25,11.413000,11.500000,10.820000,10.851000,10.851000,43921000
2015-08-26,11.260000,11.674000,11.118000,11.620000,11.620000,59354000
2015-08-27,12.050000,12.700000,12.038000,12.626000,12.626000,91882000
2015-08-28,12.553000,12.772000,12.469000,12.762000,12.762000,36322000
2015-08-31,12.664000,12.804000,12.500000,12.597000,12.597000,30087000
2015-09-01,12.152000,12.502000,11.810000,11.937000,11.937000,49749000
2015-09-02,12.215000,12.407000,12.016000,12.404000,12.404000,36700000
2015-09-03,12.540000,12.690000,12.321000,12.377000,12.377000,29954000
2015-09-04,12.124000,12.381000,12.065000,12.115000,12.115000,24923000
2015-09-08,12.540000,12.933000,12.482000,12.916000,12.916000,35477000
2015-09-09,13.018000,13.179000,12.630000,12.717000,12.717000,31502000
2015-09-10,12.854000,12.916000,12.480000,12.872000,12.872000,36224000
2015-09-11,12.816000,13.122000,12.694000,13.108000,13.108000,39606000
2015-09-14,13.250000,13.373000,13.060000,13.119000,13.119000,34643000
2015-09-15,13.213000,13.495000,13.100000,13.438000,13.438000,30804000
2015-09-16,13.389000,13.389000,13.026000,13.149000,13.149000,27317000
2015-09-17,13.151000,13.306000,13.020000,13.061000,13.061000,19918000
2015-09-18,12.854000,12.949000,12.660000,12.759000,12.759000,44021000
